DATE,TREAS5T10
2008-12-17,97373
2008-12-24,97345
2008-12-31,97325
2009-01-07,97280
2009-01-14,96462
2009-01-21,97383
2009-01-28,97338
2009-02-04,97304
2009-02-11,97278
2009-02-18,99442
2009-02-25,99416
2009-03-04,100588
2009-03-11,100598
2009-03-18,100928
2009-03-25,100938
2009-04-01,109586
2009-04-08,109906
2009-04-15,110944
2009-04-22,117956
2009-04-29,118003
2009-05-06,127410
2009-05-13,127416
2009-05-20,128320
2009-05-27,137233
2009-06-03,138134
2009-06-10,153118
2009-06-17,153325
2009-06-24,166750
2009-07-01,174540
2009-07-08,177120
2009-07-15,176253
2009-07-22,183943
2009-07-29,183950
2009-08-05,184669
2009-08-12,192654
2009-08-19,200217
2009-08-26,200238
2009-09-02,201095
2009-09-09,206041
2009-09-16,206079
2009-09-23,206625
2009-09-30,207135
2009-10-07,207140
2009-10-14,210095
2009-10-21,210312
2009-10-28,210318
2009-11-04,211085
2009-11-11,211087
2009-11-18,211684
2009-11-25,211686
2009-12-02,212649
2009-12-09,212651
2009-12-16,212766
2009-12-23,212769
2009-12-30,212771
2010-01-06,213721
2010-01-13,213723
2010-01-20,214776
2010-01-27,214778
2010-02-03,215298
2010-02-10,215293
2010-02-17,213266
2010-02-24,213261
2010-03-03,214048
2010-03-10,214057
2010-03-17,214314
2010-03-24,214323
2010-03-31,215414
2010-04-07,215415
2010-04-14,215415
2010-04-21,217540
2010-04-28,217541
2010-05-05,218232
2010-05-12,218243
2010-05-19,213483
2010-05-26,213494
2010-06-02,214177
2010-06-09,214182
2010-06-16,214308
2010-06-23,214313
2010-06-30,215211
2010-07-07,215213
2010-07-14,214982
2010-07-21,214994
2010-07-28,214996
2010-08-04,215947
2010-08-11,215945
2010-08-18,216083
2010-08-25,219689
2010-09-01,220725
2010-09-08,221947
2010-09-15,225683
2010-09-22,231228
2010-09-29,232855
2010-10-06,238962
2010-10-13,238966
2010-10-20,246208
2010-10-27,246571
2010-11-03,247169
2010-11-10,254262
2010-11-17,259205
2010-11-24,276741
2010-12-01,278938
2010-12-08,297233
2010-12-15,314299
2010-12-22,332496
2010-12-29,332500
2011-01-05,342546
2011-01-12,359108
2011-01-19,368756
2011-01-26,386665
2011-02-02,396918
2011-02-09,414155
2011-02-16,418498
2011-02-23,435528
2011-03-02,436109
2011-03-09,452158
2011-03-16,460397
2011-03-23,469854
2011-03-30,478796
2011-04-06,488876
2011-04-13,496992
2011-04-20,505786
2011-04-27,513052
2011-05-04,517652
2011-05-11,525568
2011-05-18,532102
2011-05-25,546030
2011-06-01,539335
2011-06-08,554021
2011-06-15,565620
2011-06-22,580703
2011-06-29,585665
2011-07-06,581824
2011-07-13,582548
2011-07-20,579576
2011-07-27,582718
2011-08-03,577458
2011-08-10,580770
2011-08-17,576091
2011-08-24,581599
2011-08-31,579727
2011-09-07,579731
2011-09-14,583081
2011-09-21,583686
2011-09-28,583690
2011-10-05,583799
2011-10-12,583824
2011-10-19,593316
2011-10-26,607404
2011-11-02,603320
2011-11-09,612962
2011-11-16,604361
2011-11-23,633612
2011-11-30,631158
2011-12-07,636050
2011-12-14,640704
2011-12-21,655879
2011-12-28,660486
2012-01-04,650850
2012-01-11,655779
2012-01-18,659004
2012-01-25,673510
2012-02-01,672891
2012-02-08,677832
2012-02-15,680651
2012-02-22,688526
2012-02-29,687885
2012-03-07,691931
2012-03-14,697055
2012-03-21,707665
2012-03-28,711708
2012-04-04,711791
2012-04-11,721325
2012-04-18,729715
2012-04-25,739042
2012-05-02,732932
2012-05-09,737699
2012-05-16,723863
2012-05-23,730251
2012-05-30,723850
2012-06-06,738207
2012-06-13,738221
2012-06-20,745173
2012-06-27,754623
2012-07-04,749237
2012-07-11,754329
2012-07-18,757892
2012-07-25,767379
2012-08-01,770462
2012-08-08,779572
2012-08-15,766034
2012-08-22,773527
2012-08-29,778166
2012-09-05,785689
2012-09-12,790418
2012-09-19,799787
2012-09-26,804516
2012-10-03,809358
2012-10-10,814098
2012-10-17,823918
2012-10-24,823944
2012-10-31,826698
2012-11-07,836554
2012-11-14,836409
2012-11-21,844439
2012-11-28,844457
2012-12-05,846751
2012-12-12,856457
2012-12-19,866018
2012-12-26,866016
2013-01-02,862403
2013-01-09,866089
2013-01-16,871522
2013-01-23,874860
2013-01-30,871745
2013-02-06,874956
2013-02-13,881896
2013-02-20,880077
2013-02-27,872989
2013-03-06,876335
2013-03-13,880024
2013-03-20,887601
2013-03-27,894432
2013-04-03,882819
2013-04-10,886581
2013-04-17,889937
2013-04-24,897077
2013-05-01,882001
2013-05-08,885318
2013-05-15,867351
2013-05-22,871918
2013-05-29,875579
2013-06-05,863091
2013-06-12,866763
2013-06-19,872792
2013-06-26,879602
2013-07-03,870969
2013-07-10,876672
2013-07-17,879318
2013-07-24,886154
2013-07-31,869614
2013-08-07,874709
2013-08-14,855332
2013-08-21,871934
2013-08-28,875158
2013-09-04,864316
2013-09-11,867686
2013-09-18,874742
2013-09-25,881740
2013-10-02,880754
2013-10-09,887608
2013-10-16,889601
2013-10-23,896444
2013-10-30,882128
2013-11-06,885851
2013-11-13,891277
2013-11-20,867998
2013-11-27,871174
2013-12-04,858356
2013-12-11,864707
2013-12-18,871606
2013-12-25,877403
2014-01-01,864700
2014-01-08,867504
2014-01-15,868862
2014-01-22,874124
2014-01-29,883213
2014-02-05,880024
2014-02-12,885261
2014-02-19,847898
2014-02-26,855792
2014-03-05,854054
2014-03-12,859084
2014-03-19,861640
2014-03-26,864279
2014-04-02,853179
2014-04-09,855478
2014-04-16,859981
2014-04-23,860175
2014-04-30,847034
2014-05-07,849559
2014-05-14,820137
2014-05-21,824474
2014-05-28,826853
2014-06-04,814320
2014-06-11,816849
2014-06-18,816861
2014-06-25,821260
2014-07-02,808779
2014-07-09,811565
2014-07-16,810990
2014-07-23,811002
2014-07-30,800501
2014-08-06,800522
2014-08-13,802855
2014-08-20,751222
2014-08-27,755717
2014-09-03,742262
2014-09-10,742261
2014-09-17,746714
2014-09-24,746893
2014-10-01,739908
2014-10-08,741439
2014-10-15,741433
2014-10-22,742973
2014-10-29,744464
2014-11-05,729807
2014-11-12,729810
2014-11-19,700726
2014-11-26,700729
2014-12-03,693743
2014-12-10,693735
2014-12-17,693726
2014-12-24,693716
2014-12-31,686627
2015-01-07,686609
2015-01-14,685517
2015-01-21,693755
2015-01-28,693727
2015-02-04,687683
2015-02-11,687652
2015-02-18,658999
2015-02-25,658967
2015-03-04,649302
2015-03-11,649278
2015-03-18,649255
2015-03-25,649232
2015-04-01,637917
2015-04-08,637939
2015-04-15,637961
2015-04-22,637983
2015-04-29,638005
2015-05-06,632974
2015-05-13,633003
2015-05-20,591648
2015-05-27,591678
2015-06-03,586944
2015-06-10,586954
2015-06-17,586965
2015-06-24,586975
2015-07-01,574120
2015-07-08,574145
2015-07-15,569285
2015-07-22,569305
2015-07-29,569324
2015-08-05,563314
2015-08-12,563327
2015-08-19,525548
2015-08-26,525562
2015-09-02,522712
2015-09-09,522712
2015-09-16,522712
2015-09-23,522712
2015-09-30,514060
2015-10-07,514054
2015-10-14,514049
2015-10-21,514043
2015-10-28,514037
2015-11-04,512967
2015-11-11,512960
2015-11-18,500542
2015-11-25,500535
2015-12-02,494994
2015-12-09,494992
2015-12-16,494990
2015-12-23,494988
2015-12-30,494987
2016-01-06,489219
2016-01-13,489211
2016-01-20,488387
2016-01-27,488379
2016-02-03,485029
2016-02-10,485016
2016-02-17,455956
2016-02-24,462562
2016-03-02,468542
2016-03-09,468548
2016-03-16,468555
2016-03-23,468561
2016-03-30,464882
2016-04-06,474170
2016-04-13,474174
2016-04-20,474318
2016-04-27,474322
2016-05-04,479447
2016-05-11,479465
2016-05-18,441214
2016-05-25,441232
2016-06-01,449610
2016-06-08,449634
2016-06-15,449658
2016-06-22,449682
2016-06-29,447746
2016-07-06,451851
2016-07-13,451872
2016-07-20,452290
2016-07-27,452309
2016-08-03,454273
2016-08-10,454289
2016-08-17,429152
2016-08-24,429168
2016-08-31,431098
2016-09-07,431090
2016-09-14,431082
2016-09-21,431074
2016-09-28,431066
2016-10-05,433453
2016-10-12,433457
2016-10-19,433461
2016-10-26,433465
2016-11-02,435165
2016-11-09,435177
2016-11-16,384699
2016-11-23,395485
2016-11-30,399648
2016-12-07,399255
2016-12-14,399261
2016-12-21,399268
2016-12-28,399275
2017-01-04,402996
2017-01-11,402988
2017-01-18,405075
2017-01-25,405066
2017-02-01,407659
2017-02-08,407661
2017-02-15,363532
2017-02-22,372215
2017-03-01,376104
2017-03-08,376137
2017-03-15,376170
2017-03-22,376203
2017-03-29,376236
2017-04-05,380988
2017-04-12,381007
2017-04-19,381191
2017-04-26,381211
2017-05-03,384939
2017-05-10,384944
2017-05-17,349054
2017-05-24,349059
2017-05-31,353768
2017-06-07,353787
2017-06-14,353806
2017-06-21,353826
2017-06-28,353845
2017-07-05,357258
2017-07-12,357263
2017-07-19,357347
2017-07-26,357353
2017-08-02,361528
2017-08-09,361534
2017-08-16,312184
2017-08-23,324394
2017-08-30,324365
2017-09-06,325239
2017-09-13,325435
2017-09-20,325430
2017-09-27,325425
2017-10-04,328882
2017-10-11,328902
2017-10-18,328922
2017-10-25,328941
2017-11-01,329644
2017-11-08,329680
2017-11-15,292840
2017-11-22,308286
2017-11-29,308302
2017-12-06,310425
2017-12-13,310420
2017-12-20,310416
2017-12-27,310412
2018-01-03,314035
2018-01-10,314035
2018-01-17,316716
2018-01-24,316716
2018-01-31,322166
2018-02-07,322161
2018-02-14,295684
2018-02-21,300215
2018-02-28,297846
2018-03-07,297887
2018-03-14,297929
2018-03-21,297970
2018-03-28,298012
2018-04-04,296395
2018-04-11,296322
2018-04-18,308229
2018-04-25,308277
2018-05-02,304579
2018-05-09,304602
2018-05-16,290054
2018-05-23,296104
2018-05-30,288986
2018-06-06,296172
2018-06-13,296217
2018-06-20,296261
2018-06-27,296305.0
2018-07-04,295992.0
2018-07-11,296037.0
2018-07-18,296154.0
2018-07-25,296199.0
2018-08-01,296622.0
2018-08-08,296639.0
2018-08-15,258449.0
2018-08-22,267171.0
2018-08-29,267189.0
2018-09-05,267464.0
2018-09-12,267465.0
2018-09-19,267466.0
2018-09-26,267467.0
2018-10-03,265763.0
2018-10-10,265769.0
2018-10-17,265775.0
2018-10-24,265781.0
2018-10-31,264095.0
2018-11-07,264108.0
2018-11-14,255606.0
2018-11-21,263716.0
2018-11-28,263727.0
2018-12-05,264547.0
2018-12-12,264567.0
2018-12-19,264587.0
2018-12-26,264607.0
2019-01-02,260887.0
2019-01-09,260849.0
2019-01-16,260811.0
2019-01-23,261168.0
2019-01-30,259354.0
2019-02-06,259314.0
2019-02-13,259274.0
2019-02-20,254819.0
2019-02-27,254779.0
2019-03-06,252449.0
2019-03-13,252470.0
2019-03-20,252492.0
2019-03-27,252513.0
2019-04-03,249157.0
2019-04-10,249207.0
2019-04-17,249260.0
2019-04-24,262007.0
2019-05-01,258659.0
2019-05-08,258739.0
2019-05-15,257102.0
2019-05-22,266380.0
2019-05-29,266461.0
2019-06-05,267697.0
2019-06-12,267777.0
2019-06-19,267857.0
2019-06-26,267937.0
2019-07-03,266427.0
2019-07-10,266454.0
2019-07-17,266685.0
2019-07-24,266716.0
2019-07-31,265728.0
2019-08-07,265731.0
2019-08-14,265734.0
2019-08-21,289608.0
2019-08-28,291712.0
2019-09-04,295006.0
2019-09-11,297554.0
2019-09-18,297580.0
2019-09-25,297606.0
2019-10-02,302345.0
2019-10-09,302408.0
2019-10-16,302407.0
2019-10-23,302406.0
2019-10-30,302405.0
2019-11-06,308578.0
2019-11-13,310038.0
2019-11-20,317309.0
2019-11-27,317323.0
2019-12-04,322057.0
2019-12-11,322136.0
2019-12-18,322172.0
2019-12-25,322208.0
2020-01-01,321591.0
2020-01-08,324301.0
2020-01-15,315612.0
2020-01-22,315605.0
2020-01-29,315598.0
2020-02-05,319329.0
2020-02-12,319315.0
2020-02-19,325396.0
2020-02-26,325382.0
2020-03-04,326323.0
2020-03-11,327906.0
2020-03-18,357666.0
2020-03-25,436318.0
2020-04-01,509228.0
2020-04-08,576918.0
2020-04-15,621255.0
2020-04-22,659309.0
2020-04-29,665596.0
2020-05-06,675810.0
2020-05-13,686628.0
2020-05-20,711258.0
2020-05-27,719915.0
2020-06-03,719393.0
2020-06-10,725316.0
2020-06-17,729159.0
2020-06-24,735883.0
2020-07-01,732150.0
2020-07-08,735426.0
2020-07-15,738129.0
2020-07-22,745867.0
2020-07-29,746156.0
2020-08-05,745463.0
2020-08-12,754625.0
2020-08-19,762621.0
2020-08-26,771901.0
2020-09-02,766933.0
2020-09-09,770951.0
2020-09-16,778237.0
2020-09-23,787290.0
2020-09-30,788868.0
2020-10-07,797112.0
2020-10-14,797937.0
2020-10-21,805291.0
2020-10-28,809323.0
2020-11-04,812404.0
2020-11-11,812450.0
2020-11-18,824797.0
2020-11-25,826697.0
2020-12-02,829664.0
2020-12-09,830650.0
2020-12-16,832286.0
2020-12-23,833243.0
2020-12-30,827914.0
2021-01-06,836876.0
2021-01-13,843174.0
2021-01-20,826150.0
2021-01-27,834222.0
2021-02-03,836802.0
2021-02-10,845658.0
2021-02-17,851747.0
2021-02-24,858715.0
2021-03-03,866624.0
2021-03-10,870902.0
2021-03-17,877115.0
2021-03-24,878599.0
2021-03-31,889019.0
2021-04-07,889186.0
2021-04-14,894208.0
2021-04-21,900697.0
2021-04-28,906047.0
2021-05-05,906238.0
2021-05-12,910943.0
2021-05-19,918938.0
2021-05-26,926562.0
2021-06-02,928755.0
2021-06-09,933934.0
2021-06-16,943249.0
2021-06-23,947593.0
2021-06-30,950972.0
2021-07-07,954433.0
2021-07-14,948634.0
2021-07-21,959414.0
2021-07-28,962161.0
2021-08-04,960016.0
2021-08-11,967987.0
2021-08-18,973108.0
2021-08-25,981487.0
2021-09-01,978139.0
2021-09-08,981498.0
2021-09-15,990494.0
2021-09-22,994988.0
2021-09-29,981756.0
2021-10-06,994263.0
2021-10-13,995154.0
2021-10-20,1001502.0
2021-10-27,1006665.0
2021-11-03,1001373.0
2021-11-10,1005551.0
2021-11-17,1008848.0
2021-11-24,1009204.0
2021-12-01,1006138.0
2021-12-08,1009697.0
2021-12-15,1018090.0
2021-12-22,1023231.0
2021-12-29,1023519.0
2022-01-05,1019378.0
2022-01-12,1027296.0
2022-01-19,1012038.0
2022-01-26,1014477.0
2022-02-02,1011998.0
2022-02-09,1012104.0
2022-02-16,991620.0
2022-02-23,1014389.0
2022-03-02,999949.0
2022-03-09,1001812.0
2022-03-16,1007789.0
2022-03-23,1008054.0
2022-03-30,994559.0
2022-04-06,1006251.0
2022-04-13,1006555.0
2022-04-20,1016826.0
2022-04-27,1017134.0
