DATE,WSECOUT
1998-02-18,428.812
1998-02-25,429.293
1998-03-04,429.597
1998-03-11,431.002
1998-03-18,433.166
1998-03-25,433.512
1998-04-01,433.724
1998-04-08,434.159
1998-04-15,437.022
1998-04-22,441.166
1998-04-29,440.139
1998-05-06,438.205
1998-05-13,435.150
1998-05-20,442.064
1998-05-27,441.134
1998-06-03,441.904
1998-06-10,441.085
1998-06-17,442.753
1998-06-24,442.449
1998-07-01,441.124
1998-07-08,440.879
1998-07-15,442.323
1998-07-22,440.647
1998-07-29,440.485
1998-08-05,441.617
1998-08-12,442.385
1998-08-19,442.233
1998-08-26,442.728
1998-09-02,442.772
1998-09-09,443.986
1998-09-16,443.188
1998-09-23,445.213
1998-09-30,446.642
1998-10-07,447.138
1998-10-14,448.073
1998-10-21,447.677
1998-10-28,447.597
1998-11-04,450.513
1998-11-11,450.728
1998-11-18,450.807
1998-11-25,453.198
1998-12-02,454.766
1998-12-09,454.898
1998-12-16,454.356
1998-12-23,453.448
1998-12-30,454.528
1999-01-06,452.659
1999-01-13,455.028
1999-01-20,453.156
1999-01-27,453.061
1999-02-03,455.397
1999-02-10,458.232
1999-02-17,458.423
1999-02-24,460.309
1999-03-03,461.652
1999-03-10,463.070
1999-03-17,464.507
1999-03-24,465.120
1999-03-31,465.568
1999-04-07,467.092
1999-04-14,469.977
1999-04-21,470.874
1999-04-28,472.007
1999-05-05,473.882
1999-05-12,474.714
1999-05-19,476.490
1999-05-26,480.619
1999-06-02,482.703
1999-06-09,484.214
1999-06-16,484.947
1999-06-23,485.561
1999-06-30,486.014
1999-07-07,486.017
1999-07-14,487.113
1999-07-21,487.093
1999-07-28,487.442
1999-08-04,485.804
1999-08-11,486.400
1999-08-18,487.434
1999-08-25,489.715
1999-09-01,490.377
1999-09-08,490.760
1999-09-15,490.887
1999-09-22,491.244
1999-09-29,490.204
1999-10-06,490.602
1999-10-13,491.263
1999-10-20,491.105
1999-10-27,490.905
1999-11-03,491.104
1999-11-10,492.147
1999-11-17,492.858
1999-11-24,494.182
1999-12-01,493.758
1999-12-08,494.179
1999-12-15,495.915
1999-12-22,494.778
1999-12-29,489.351
2000-01-05,481.043
2000-01-12,484.876
2000-01-19,495.005
2000-01-26,497.758
2000-02-02,500.678
2000-02-09,502.013
2000-02-16,502.620
2000-02-23,502.343
2000-03-01,501.636
2000-03-08,502.297
2000-03-15,502.077
2000-03-22,500.583
2000-03-29,501.854
2000-04-05,501.939
2000-04-12,502.738
2000-04-19,507.578
2000-04-26,507.531
2000-05-03,506.790
2000-05-10,507.885
2000-05-17,508.493
2000-05-24,507.822
2000-05-31,506.331
2000-06-07,506.566
2000-06-14,507.668
2000-06-21,508.214
2000-06-28,506.751
2000-07-05,505.185
2000-07-12,505.942
2000-07-19,507.187
2000-07-26,506.433
2000-08-02,506.588
2000-08-09,508.852
2000-08-16,510.893
2000-08-23,509.907
2000-08-30,511.287
2000-09-06,511.263
2000-09-13,512.354
2000-09-20,509.143
2000-09-27,511.283
2000-10-04,511.482
2000-10-11,512.215
2000-10-18,509.615
2000-10-25,510.594
2000-11-01,510.429
2000-11-08,510.854
2000-11-15,512.466
2000-11-22,513.155
2000-11-29,513.819
2000-12-06,513.397
2000-12-13,513.845
2000-12-20,514.867
2000-12-27,515.725
2001-01-03,512.288
2001-01-10,514.242
2001-01-17,516.418
2001-01-24,517.118
2001-01-31,516.929
2001-02-07,515.700
2001-02-14,516.019
2001-02-21,519.750
2001-02-28,520.749
2001-03-07,521.684
2001-03-14,522.815
2001-03-21,522.363
2001-03-28,523.940
2001-04-04,523.337
2001-04-11,522.238
2001-04-18,522.384
2001-04-25,525.442
2001-05-02,527.046
2001-05-09,524.724
2001-05-16,527.268
2001-05-23,526.109
2001-05-30,529.178
2001-06-06,527.950
2001-06-13,531.115
2001-06-20,532.916
2001-06-27,535.019
2001-07-04,534.056
2001-07-11,532.777
2001-07-18,534.250
2001-07-25,535.832
2001-08-01,536.083
2001-08-08,536.709
2001-08-15,539.556
2001-08-22,540.831
2001-08-29,541.884
2001-09-05,542.062
2001-09-12,540.488
2001-09-19,523.369
2001-09-26,531.008
2001-10-03,534.525
2001-10-10,540.145
2001-10-17,541.332
2001-10-24,543.587
2001-10-31,543.445
2001-11-07,544.274
2001-11-14,546.047
2001-11-21,549.078
2001-11-28,549.504
2001-12-05,550.450
2001-12-12,551.523
2001-12-19,554.241
2001-12-26,555.875
2002-01-02,553.854
2002-01-09,556.360
2002-01-16,558.473
2002-01-23,557.939
2002-01-30,561.051
2002-02-06,562.136
2002-02-13,562.656
2002-02-20,565.894
2002-02-27,567.342
2002-03-06,568.520
2002-03-13,571.924
2002-03-20,574.108
2002-03-27,575.750
2002-04-03,575.770
2002-04-10,576.803
2002-04-17,578.342
2002-04-24,580.276
2002-05-01,580.929
2002-05-08,582.177
2002-05-15,583.982
2002-05-22,585.132
2002-05-29,587.679
2002-06-05,587.413
2002-06-12,589.070
2002-06-19,591.364
2002-06-26,591.698
2002-07-03,590.864
2002-07-10,592.636
2002-07-17,592.523
2002-07-24,597.626
2002-07-31,600.152
2002-08-07,600.118
2002-08-14,600.227
2002-08-21,602.149
2002-08-28,603.780
2002-09-04,603.093
2002-09-11,604.102
2002-09-18,605.124
2002-09-25,605.252
2002-10-02,605.410
2002-10-09,609.120
2002-10-16,609.643
2002-10-23,610.283
2002-10-30,608.703
2002-11-06,608.662
2002-11-13,608.490
2002-11-20,608.063
2002-11-27,609.245
2002-12-04,609.596
2002-12-11,609.915
2002-12-18,626.479
2002-12-25,629.410
2003-01-01,629.415
2003-01-08,629.416
2003-01-15,629.416
2003-01-22,629.416
2003-01-29,629.416
2003-02-05,629.415
2003-02-12,629.951
2003-02-19,631.009
2003-02-26,634.932
2003-03-05,636.873
2003-03-12,638.586
2003-03-19,639.517
2003-03-26,640.129
2003-04-02,641.311
2003-04-09,643.940
2003-04-16,645.669
2003-04-23,646.852
2003-04-30,647.057
2003-05-07,647.419
2003-05-14,647.817
2003-05-21,650.403
2003-05-28,650.852
2003-06-04,651.202
2003-06-11,651.585
2003-06-18,651.783
2003-06-25,651.960
2003-07-02,652.162
2003-07-09,652.443
2003-07-16,652.538
2003-07-23,652.764
2003-07-30,652.843
2003-08-06,652.996
2003-08-13,653.072
2003-08-20,653.446
2003-08-27,653.644
2003-09-03,653.881
2003-09-10,654.525
2003-09-17,655.767
2003-09-24,655.990
2003-10-01,656.119
2003-10-08,656.242
2003-10-15,656.416
2003-10-22,656.625
2003-10-29,657.966
2003-11-05,658.813
2003-11-12,660.213
2003-11-19,661.963
2003-11-26,663.499
2003-12-03,664.699
2003-12-10,665.488
2003-12-17,665.893
2003-12-24,666.034
2003-12-31,666.402
2004-01-07,666.704
2004-01-14,666.798
2004-01-21,666.827
2004-01-28,667.029
2004-02-04,667.262
2004-02-11,668.702
2004-02-18,670.117
2004-02-25,670.909
2004-03-03,671.586
2004-03-10,672.592
2004-03-17,673.086
2004-03-24,673.518
2004-03-31,674.037
2004-04-07,674.201
2004-04-14,674.520
2004-04-21,674.786
2004-04-28,675.539
2004-05-05,677.738
2004-05-12,677.826
2004-05-19,679.574
2004-05-26,680.027
2004-06-02,681.468
2004-06-09,683.066
2004-06-16,684.980
2004-06-23,685.043
2004-06-30,687.099
2004-07-07,687.668
2004-07-14,689.774
2004-07-21,692.281
2004-07-28,693.510
2004-08-04,693.728
2004-08-11,693.741
2004-08-18,694.041
2004-08-25,694.794
2004-09-01,694.851
2004-09-08,694.871
2004-09-15,695.563
2004-09-22,697.024
2004-09-29,698.602
2004-10-06,700.691
2004-10-13,701.602
2004-10-20,702.661
2004-10-27,705.165
2004-11-03,707.023
2004-11-10,708.823
2004-11-17,709.268
2004-11-24,711.264
2004-12-01,711.968
2004-12-08,715.618
2004-12-15,717.589
2004-12-22,717.674
2004-12-29,717.727
2005-01-05,717.819
2005-01-12,717.822
2005-01-19,717.825
2005-01-26,717.827
2005-02-02,717.855
2005-02-09,717.886
2005-02-16,717.866
2005-02-23,717.845
2005-03-02,717.686
2005-03-09,717.502
2005-03-16,717.512
2005-03-23,717.522
2005-03-30,717.532
2005-04-06,717.341
2005-04-13,717.369
2005-04-20,717.398
2005-04-27,717.941
2005-05-04,719.356
2005-05-11,720.597
2005-05-18,721.611
2005-05-25,722.188
2005-06-01,724.565
2005-06-08,725.448
2005-06-15,725.482
2005-06-22,725.909
2005-06-29,726.009
2005-07-06,724.719
2005-07-13,724.714
2005-07-20,724.709
2005-07-27,724.704
2005-08-03,724.700
2005-08-10,724.702
2005-08-17,726.345
2005-08-24,728.553
2005-08-31,730.700
2005-09-07,730.411
2005-09-14,732.393
2005-09-21,733.363
2005-09-28,735.727
2005-10-05,736.539
2005-10-12,737.660
2005-10-19,737.795
2005-10-26,738.282
2005-11-02,740.525
2005-11-09,741.036
2005-11-16,742.075
2005-11-23,743.500
2005-11-30,744.306
