DATE,TREAS911Y
2010-11-10,50651
2010-11-17,54509
2010-11-24,54509
2010-12-01,53561
2010-12-08,53562
2010-12-15,55978
2010-12-22,55979
2010-12-29,55980
2011-01-05,54254
2011-01-12,54254
2011-01-19,55715
2011-01-26,55715
2011-02-02,52339
2011-02-09,52339
2011-02-16,61118
2011-02-23,61118
2011-03-02,57572
2011-03-09,57572
2011-03-16,67799
2011-03-23,67800
2011-03-30,67800
2011-04-06,68371
2011-04-13,68372
2011-04-20,82277
2011-04-27,82281
2011-05-04,83377
2011-05-11,83385
2011-05-18,89579
2011-05-25,89587
2011-06-01,95392
2011-06-08,92003
2011-06-15,92008
2011-06-22,100513
2011-06-29,100519
2011-07-06,103863
2011-07-13,103867
2011-07-20,114135
2011-07-27,114143
2011-08-03,116238
2011-08-10,116236
2011-08-17,125266
2011-08-24,125265
2011-08-31,125263
2011-09-07,127126
2011-09-14,127127
2011-09-21,129111
2011-09-28,129112
2011-10-05,130712
2011-10-12,121847
2011-10-19,118104
2011-10-26,117752
2011-11-02,115531
2011-11-09,115533
2011-11-16,117004
2011-11-23,99696
2011-11-30,99698
2011-12-07,104194
2011-12-14,94393
2011-12-21,87287
2011-12-28,87285
2012-01-04,87548
2012-01-11,77964
2012-01-18,66893
2012-01-25,66892
2012-02-01,66278
2012-02-08,56826
2012-02-15,52321
2012-02-22,58928
2012-02-29,64782
2012-03-07,55708
2012-03-14,55709
2012-03-21,53727
2012-03-28,52099
2012-04-04,54185
2012-04-11,52712
2012-04-18,49600
2012-04-25,49600
2012-05-02,51248
2012-05-09,42608
2012-05-16,49116
2012-05-23,36607
2012-05-30,36607
2012-06-06,26295
2012-06-13,26295
2012-06-20,21354
2012-06-27,21354
2012-07-04,20530
2012-07-11,12603
2012-07-18,12604
2012-07-25,12604
2012-08-01,13742
2012-08-08,5942
2012-08-15,4813
2012-08-22,4812
2012-08-29,4812
2012-09-05,4713
2012-09-12,992
2012-09-19,992
2012-09-26,992
2012-10-03,611
2012-10-10,17
2012-10-17,17
2012-10-24,17
2012-10-31,19
2012-11-07,16
2012-11-14,16
2012-11-21,42
2012-11-28,42
2012-12-05,41
2012-12-12,15
2012-12-19,16
2012-12-26,16
2013-01-02,16
2013-01-09,16
2013-01-16,15
2013-01-23,15
2013-01-30,14
2013-02-06,15
2013-02-13,15
2013-02-20,14
2013-02-27,14
2013-03-06,308
2013-03-13,308
2013-03-20,307
2013-03-27,307
2013-04-03,308
2013-04-10,308
2013-04-17,307
2013-04-24,307
2013-05-01,308
2013-05-08,308
2013-05-15,308
2013-05-22,308
2013-05-29,308
2013-06-05,343
2013-06-12,343
2013-06-19,343
2013-06-26,343
2013-07-03,342
2013-07-10,342
2013-07-17,342
2013-07-24,342
2013-07-31,382
2013-08-07,381
2013-08-14,381
2013-08-21,382
2013-08-28,382
2013-09-04,385
2013-09-11,385
2013-09-18,385
2013-09-25,385
2013-10-02,385
2013-10-09,385
2013-10-16,385
2013-10-23,384
2013-10-30,384
2013-11-06,384
2013-11-13,384
2013-11-20,472
2013-11-27,472
2013-12-04,177
2013-12-11,177
2013-12-18,177
2013-12-25,177
2014-01-01,176
2014-01-08,176
2014-01-15,176
2014-01-22,176
2014-01-29,176
2014-02-05,175
2014-02-12,175
2014-02-19,177
2014-02-26,177
2014-03-05,141
2014-03-12,141
2014-03-19,142
2014-03-26,142
2014-04-02,142
2014-04-09,142
2014-04-16,143
2014-04-23,143
2014-04-30,593
2014-05-07,553
2014-05-14,553
2014-05-21,1999
2014-05-28,1999
2014-06-04,1994
2014-06-11,1994
2014-06-18,1995
2014-06-25,1995
2014-07-02,1995
2014-07-09,1995
2014-07-16,1995
2014-07-23,1995
2014-07-30,1995
2014-08-06,1995
2014-08-13,1995
2014-08-20,3194
2014-08-27,3194
2014-09-03,3194
2014-09-10,3194
2014-09-17,3194
2014-09-24,3194
2014-10-01,3194
2014-10-08,3194
2014-10-15,3194
2014-10-22,3193
2014-10-29,3193
2014-11-05,3193
2014-11-12,3193
2014-11-19,3517
2014-11-26,3517
2014-12-03,3517
2014-12-10,3517
2014-12-17,3516
2014-12-24,3516
2014-12-31,3516
2015-01-07,3516
2015-01-14,3516
2015-01-21,3514
2015-01-28,3514
2015-02-04,4976
2015-02-11,4976
2015-02-18,8397
2015-02-25,8397
2015-03-04,40235
2015-03-11,40235
2015-03-18,40235
2015-03-25,40235
2015-04-01,63822
2015-04-08,63822
2015-04-15,63822
2015-04-22,64211
2015-04-29,64212
2015-05-06,91583
2015-05-13,91583
2015-05-20,104318
2015-05-27,104319
2015-06-03,129567
2015-06-10,129567
2015-06-17,129567
2015-06-24,129567
2015-07-01,143134
2015-07-08,143134
2015-07-15,143134
2015-07-22,146748
2015-07-29,146753
2015-08-05,153949
2015-08-12,153952
2015-08-19,159980
2015-08-26,159983
2015-09-02,166961
2015-09-09,166961
2015-09-16,166961
2015-09-23,166961
2015-09-30,166961
2015-10-07,173786
2015-10-14,173785
2015-10-21,173784
2015-10-28,173783
2015-11-04,178399
2015-11-11,178397
2015-11-18,187101
2015-11-25,187099
2015-12-02,165796
2015-12-09,165795
2015-12-16,165795
2015-12-23,165795
2015-12-30,165794
2016-01-06,153907
2016-01-13,153905
2016-01-20,156559
2016-01-27,156556
2016-02-03,136537
2016-02-10,136531
2016-02-17,129663
2016-02-24,129658
2016-03-02,117582
2016-03-09,117584
2016-03-16,117587
2016-03-23,117589
2016-03-30,117592
2016-04-06,117586
2016-04-13,117587
2016-04-20,114430
2016-04-27,114431
2016-05-04,121298
2016-05-11,121301
2016-05-18,135438
2016-05-25,135441
2016-06-01,147354
2016-06-08,140383
2016-06-15,140387
2016-06-22,140391
2016-06-29,140394
2016-07-06,146455
2016-07-13,146458
2016-07-20,147715
2016-07-27,147720
2016-08-03,152989
2016-08-10,152993
2016-08-17,158078
2016-08-24,158082
2016-08-31,161282
2016-09-07,150744
2016-09-14,150742
2016-09-21,150740
2016-09-28,150738
2016-10-05,149983
2016-10-12,149984
2016-10-19,146892
2016-10-26,146893
2016-11-02,148238
2016-11-09,148239
2016-11-16,159283
2016-11-23,152126
2016-11-30,146820
2016-12-07,146820
2016-12-14,146821
2016-12-21,146821
2016-12-28,146822
2017-01-04,150766
2017-01-11,150765
2017-01-18,153341
2017-01-25,153339
2017-02-01,167127
2017-02-08,167127
2017-02-15,163208
2017-02-22,163208
2017-03-01,195256
2017-03-08,183351
2017-03-15,183357
2017-03-22,183363
2017-03-29,183368
2017-04-05,201689
2017-04-12,201692
2017-04-19,200648
2017-04-26,200650
2017-05-03,223203
2017-05-10,223204
2017-05-17,230777
2017-05-24,230778
2017-05-31,259257
