DATE,TNMACBW027SBOG
2016-02-03,674.5042
2016-02-10,673.2654
2016-02-17,673.475
2016-02-24,674.4251
2016-03-02,681.3905
2016-03-09,680.6036
2016-03-16,678.9267
2016-03-23,677.1974
2016-03-30,676.8283
2016-04-06,678.5212
2016-04-13,686.3824
2016-04-20,682.9501
2016-04-27,687.5466
2016-05-04,692.5615
2016-05-11,689.9636
2016-05-18,696.2828
2016-05-25,693.7351
2016-06-01,700.1401
2016-06-08,697.5841
2016-06-15,702.9228
2016-06-22,702.1931
2016-06-29,706.925
2016-07-06,713.2547
2016-07-13,718.8715
2016-07-20,721.0197
2016-07-27,722.4616
2016-08-03,717.8063
2016-08-10,719.3555
2016-08-17,719.4476
2016-08-24,721.5046
2016-08-31,723.1771
2016-09-07,721.7178
2016-09-14,731.7324
2016-09-21,735.9458
2016-09-28,738.3362
2016-10-05,737.931
2016-10-12,732.7765
2016-10-19,743.0472
2016-10-26,743.1257
2016-11-02,748.0101
2016-11-09,750.5003
2016-11-16,745.4651
2016-11-23,734.7421
2016-11-30,738.6928
2016-12-07,736.1506
2016-12-14,739.0479
2016-12-21,733.9817
2016-12-28,735.6817
2017-01-04,737.8311
2017-01-11,730.9794
2017-01-18,736.1159
2017-01-25,733.9347
2017-02-01,734.0124
2017-02-08,734.5076
2017-02-15,741.5954
2017-02-22,747.026
2017-03-01,742.9356
2017-03-08,745.284
2017-03-15,741.1109
2017-03-22,745.6854
2017-03-29,740.0188
2017-04-05,750.1561
2017-04-12,744.6956
2017-04-19,737.5384
2017-04-26,730.6155
2017-05-03,732.542
2017-05-10,731.8661
2017-05-17,732.7076
2017-05-24,730.8952
2017-05-31,733.6434
2017-06-07,723.5795
2017-06-14,716.355
2017-06-21,714.0104
2017-06-28,706.6751
2017-07-05,708.4869
2017-07-12,708.5247
2017-07-19,705.1774
2017-07-26,703.8122
2017-08-02,702.9463
2017-08-09,698.8873
2017-08-16,698.9383
2017-08-23,703.3521
2017-08-30,699.6526
2017-09-06,699.4656
2017-09-13,695.992
2017-09-20,696.8805
2017-09-27,699.6289
2017-10-04,699.7228
2017-10-11,701.5092
2017-10-18,701.8448
2017-10-25,695.9373
2017-11-01,698.5547
2017-11-08,698.0987
2017-11-15,697.0002
2017-11-22,694.6211
2017-11-29,705.8324
2017-12-06,703.7641
2017-12-13,700.391
2017-12-20,698.6502
2017-12-27,706.5425
2018-01-03,702.8494
2018-01-10,702.3217
2018-01-17,700.2154
2018-01-24,703.2958
2018-01-31,708.0561
2018-02-07,708.322
2018-02-14,709.6377
2018-02-21,707.3287
2018-02-28,705.1218
2018-03-07,707.1054
2018-03-14,708.033
2018-03-21,706.0311
2018-03-28,707.0926
2018-04-04,711.659
2018-04-11,709.279
2018-04-18,708.872
2018-04-25,710.926
2018-05-02,710.4433
2018-05-09,711.5832
2018-05-16,714.0929
2018-05-23,722.0574
2018-05-30,730.6892
2018-06-06,728.0256
2018-06-13,730.7821
2018-06-20,730.0792
2018-06-27,732.5029
2018-07-04,729.7595
2018-07-11,733.8756
2018-07-18,733.3323
2018-07-25,738.3207
2018-08-01,729.0367
2018-08-08,733.1124
2018-08-15,734.5019
2018-08-22,735.136
2018-08-29,734.5844
2018-09-05,738.4902
2018-09-12,742.313
2018-09-19,742.5755
2018-09-26,737.0161
2018-10-03,738.8215
2018-10-10,739.6047
2018-10-17,735.9709
2018-10-24,745.9866
2018-10-31,742.5488
2018-11-07,747.4796
2018-11-14,752.3033
2018-11-21,757.4892
2018-11-28,759.2005
2018-12-05,767.6046
2018-12-12,781.8876
2018-12-19,789.6727
2018-12-26,797.3551
2019-01-02,795.0977
2019-01-09,803.2896
2019-01-16,793.5419
2019-01-23,794.0903
2019-01-30,786.6471
2019-02-06,788.7034
2019-02-13,794.7631
2019-02-20,798.3488
2019-02-27,799.6378
2019-03-06,796.8974
2019-03-13,802.9465
2019-03-20,807.2982
2019-03-27,818.101
2019-04-03,819.7297
2019-04-10,816.0284
2019-04-17,820.34
2019-04-24,821.4897
2019-05-01,817.2221
2019-05-08,826.1697
2019-05-15,832.0088
2019-05-22,831.8305
2019-05-29,837.278
2019-06-05,836.0725
2019-06-12,839.9953
2019-06-19,840.7361
2019-06-26,844.6325
2019-07-03,852.6852
2019-07-10,851.9613
2019-07-17,860.9663
2019-07-24,866.4594
2019-07-31,862.3128
2019-08-07,878.3885
2019-08-14,885.818
2019-08-21,895.3424
2019-08-28,906.8423
2019-09-04,911.0604
2019-09-11,919.969
2019-09-18,937.211
2019-09-25,936.002
2019-10-02,925.5961
2019-10-09,918.0634
2019-10-16,906.0566
2019-10-23,910.6056
2019-10-30,910.0289
2019-11-06,906.6061
2019-11-13,913.9352
2019-11-20,911.4619
2019-11-27,919.2167
2019-12-04,921.2365
2019-12-11,913.1491
2019-12-18,917.4122
2019-12-25,913.0823
2020-01-01,914.0724
2020-01-08,904.775
2020-01-15,898.6465
2020-01-22,895.1755
2020-01-29,892.8793
2020-02-05,891.5217
2020-02-12,891.9989
2020-02-19,918.0124
2020-02-26,941.7266
2020-03-04,980.3095
2020-03-11,1000.7449
2020-03-18,992.8579
2020-03-25,973.3356
2020-04-01,936.7351
2020-04-08,920.9474
2020-04-15,920.2588
2020-04-22,919.3792
2020-04-29,936.3093
2020-05-06,933.627
2020-05-13,947.0878
2020-05-20,965.5587
2020-05-27,966.5863
2020-06-03,1000.5143
2020-06-10,1036.2421
2020-06-17,1080.0815
2020-06-24,1105.9173
2020-07-01,1132.9022
2020-07-08,1149.6227
2020-07-15,1150.134
2020-07-22,1146.1618
2020-07-29,1150.8119
2020-08-05,1140.9659
2020-08-12,1139.8466
2020-08-19,1146.8493
2020-08-26,1164.8773
2020-09-02,1190.3862
2020-09-09,1213.719
2020-09-16,1221.122
2020-09-23,1223.0285
2020-09-30,1208.0054
2020-10-07,1208.0329
2020-10-14,1202.6793
2020-10-21,1195.8396
2020-10-28,1200.1398
2020-11-04,1204.8977
2020-11-11,1206.6043
2020-11-18,1222.7628
2020-11-25,1225.557
2020-12-02,1226.6821
2020-12-09,1231.5402
2020-12-16,1230.0932
2020-12-23,1217.249
2020-12-30,1220.01
2021-01-06,1223.8454
2021-01-13,1232.7377
2021-01-20,1245.4542
2021-01-27,1268.2098
2021-02-03,1270.1286
2021-02-10,1267.553
2021-02-17,1257.9341
2021-02-24,1262.7424
2021-03-03,1274.8908
2021-03-10,1273.3168
2021-03-17,1298.2625
2021-03-24,1313.6668
2021-03-31,1319.3328
2021-04-07,1323.0695
2021-04-14,1323.1916
2021-04-21,1330.6441
2021-04-28,1328.4644
2021-05-05,1341.7267
2021-05-12,1350.0268
2021-05-19,1360.5618
2021-05-26,1377.4688
2021-06-02,1386.764
2021-06-09,1401.4189
2021-06-16,1403.401
2021-06-23,1407.5191
2021-06-30,1407.1863
2021-07-07,1405.0359
2021-07-14,1416.6017
2021-07-21,1415.8623
2021-07-28,1426.0774
2021-08-04,1426.456
2021-08-11,1425.6966
2021-08-18,1430.6211
2021-08-25,1433.508
2021-09-01,1444.2972
2021-09-08,1448.0591
2021-09-15,1455.2383
2021-09-22,1464.3492
2021-09-29,1493.5618
2021-10-06,1502.9989
2021-10-13,1524.4076
2021-10-20,1549.2312
2021-10-27,1554.7017
2021-11-03,1579.1654
2021-11-10,1590.2991
2021-11-17,1605.6215
2021-11-24,1619.5874
2021-12-01,1625.4745
2021-12-08,1624.4615
2021-12-15,1631.8635
2021-12-22,1645.8899
2021-12-29,1652.532
2022-01-05,1661.9634
2022-01-12,1673.5802
2022-01-19,1679.3553
2022-01-26,1679.8031
2022-02-02,1688.2529
2022-02-09,1694.9596
2022-02-16,1697.1494
2022-02-23,1709.1817
2022-03-02,1701.4158
2022-03-09,1697.5445
2022-03-16,1695.4557
2022-03-23,1708.7065
2022-03-30,1723.7315
2022-04-06,1721.5525
2022-04-13,1723.9662
2022-04-20,1718.825
