DATE,SBCACBW027SBOG
1980-02-27,260.3936
1980-03-05,261.0413
1980-03-12,261.9691
1980-03-19,261.2753
1980-03-26,262.3825
1980-04-02,260.5713
1980-04-09,262.6315
1980-04-16,262.7692
1980-04-23,263.0357
1980-04-30,264.7793
1980-05-07,264.0015
1980-05-14,266.3218
1980-05-21,267.6476
1980-05-28,268.1656
1980-06-04,268.0367
1980-06-11,269.1502
1980-06-18,269.2953
1980-06-25,271.8780
1980-07-02,272.4087
1980-07-09,273.5452
1980-07-16,274.9058
1980-07-23,276.4518
1980-07-30,276.7737
1980-08-06,279.3810
1980-08-13,278.9247
1980-08-20,281.3261
1980-08-27,282.0773
1980-09-03,282.9165
1980-09-10,282.8813
1980-09-17,284.3340
1980-09-24,284.4720
1980-10-01,286.4545
1980-10-08,286.1192
1980-10-15,286.2149
1980-10-22,287.2427
1980-10-29,287.3653
1980-11-05,289.4937
1980-11-12,291.5822
1980-11-19,291.8539
1980-11-26,292.6759
1980-12-03,291.5899
1980-12-10,293.0418
1980-12-17,292.7262
1980-12-24,293.8690
1980-12-31,294.8637
1981-01-07,294.4320
1981-01-14,295.8841
1981-01-21,295.9621
1981-01-28,295.9805
1981-02-04,297.3620
1981-02-11,297.4866
1981-02-18,297.3623
1981-02-25,298.5612
1981-03-04,299.5829
1981-03-11,298.6130
1981-03-18,299.4367
1981-03-25,298.7805
1981-04-01,302.3395
1981-04-08,301.7293
1981-04-15,300.6743
1981-04-22,302.3191
1981-04-29,302.3739
1981-05-06,303.5961
1981-05-13,303.6244
1981-05-20,302.7834
1981-05-27,302.8361
1981-06-03,305.2362
1981-06-10,305.3129
1981-06-17,306.0827
1981-06-24,304.9298
1981-07-01,304.3169
1981-07-08,304.4055
1981-07-15,304.7757
1981-07-22,304.4202
1981-07-29,305.3899
1981-08-05,305.5225
1981-08-12,304.7747
1981-08-19,303.6499
1981-08-26,304.7928
1981-09-02,304.5723
1981-09-09,303.6900
1981-09-16,305.3992
1981-09-23,305.2023
1981-09-30,307.8906
1981-10-07,306.8263
1981-10-14,306.3405
1981-10-21,306.8203
1981-10-28,307.5418
1981-11-04,307.4963
1981-11-11,306.8264
1981-11-18,305.8777
1981-11-25,306.8548
1981-12-02,307.5762
1981-12-09,306.4898
1981-12-16,306.9364
1981-12-23,307.4648
1981-12-30,306.6959
1982-01-06,303.8667
1982-01-13,305.3894
1982-01-20,306.1712
1982-01-27,307.1433
1982-02-03,307.2623
1982-02-10,308.5420
1982-02-17,309.2938
1982-02-24,308.9421
1982-03-03,307.3963
1982-03-10,307.8204
1982-03-17,309.4890
1982-03-24,309.8440
1982-03-31,312.5474
1982-04-07,315.9453
1982-04-14,313.3350
1982-04-21,313.5439
1982-04-28,312.2586
1982-05-05,314.3255
1982-05-12,313.8472
1982-05-19,313.5570
1982-05-26,314.2489
1982-06-02,313.2664
1982-06-09,315.4409
1982-06-16,314.7139
1982-06-23,316.0888
1982-06-30,317.1380
1982-07-07,316.4681
1982-07-14,316.3390
1982-07-21,316.5088
1982-07-28,317.7959
1982-08-04,317.4811
1982-08-11,319.8583
1982-08-18,318.2727
1982-08-25,318.5309
1982-09-01,318.4313
1982-09-08,320.9488
1982-09-15,321.7670
1982-09-22,321.8521
1982-09-29,322.2932
1982-10-06,324.3049
1982-10-13,325.0056
1982-10-20,324.9073
1982-10-27,326.1527
1982-11-03,326.9575
1982-11-10,326.8232
1982-11-17,326.1965
1982-11-24,327.6741
1982-12-01,328.6973
1982-12-08,331.6849
1982-12-15,332.0889
1982-12-22,334.8213
1982-12-29,335.7654
1983-01-05,339.7442
1983-01-12,338.1880
1983-01-19,338.4226
1983-01-26,340.1070
1983-02-02,343.0908
1983-02-09,343.3722
1983-02-16,346.0959
1983-02-23,345.9963
1983-03-02,349.0234
1983-03-09,352.0556
1983-03-16,353.5929
1983-03-23,355.5408
1983-03-30,356.9983
1983-04-06,361.1506
1983-04-13,361.1395
1983-04-20,363.6468
1983-04-27,365.5128
1983-05-04,366.8219
1983-05-11,369.0133
1983-05-18,372.1504
1983-05-25,373.3787
1983-06-01,375.6695
1983-06-08,378.9788
1983-06-15,380.1964
1983-06-22,381.1216
1983-06-29,381.8638
1983-07-06,383.4852
1983-07-13,380.0090
1983-07-20,381.9640
1983-07-27,380.7638
1983-08-03,381.2831
1983-08-10,379.8539
1983-08-17,382.8926
1983-08-24,383.8718
1983-08-31,384.2662
1983-09-07,384.7768
1983-09-14,386.9011
1983-09-21,387.2516
1983-09-28,388.6947
1983-10-05,391.5703
1983-10-12,390.1945
1983-10-19,393.1375
1983-10-26,394.2560
1983-11-02,393.4033
1983-11-09,395.2411
1983-11-16,396.3334
1983-11-23,397.1457
1983-11-30,395.4524
1983-12-07,397.9490
1983-12-14,398.9023
1983-12-21,398.0227
1983-12-28,396.4398
1984-01-04,400.7669
1984-01-11,398.9045
1984-01-18,398.9630
1984-01-25,397.3977
1984-02-01,397.5246
1984-02-08,397.8210
1984-02-15,400.3414
1984-02-22,397.3589
1984-02-29,400.7558
1984-03-07,399.7062
1984-03-14,404.2798
1984-03-21,402.7628
1984-03-28,403.4384
1984-04-04,403.7609
1984-04-11,400.9053
1984-04-18,404.2693
1984-04-25,404.8945
1984-05-02,403.4814
1984-05-09,402.5829
1984-05-16,401.4721
1984-05-23,401.3206
1984-05-30,403.1575
1984-06-06,401.2090
1984-06-13,401.9968
1984-06-20,400.9701
1984-06-27,403.2207
1984-07-04,401.2102
1984-07-11,402.3713
1984-07-18,399.8563
1984-07-25,400.4459
1984-08-01,399.4868
1984-08-08,400.0925
1984-08-15,399.7517
1984-08-22,400.9212
1984-08-29,401.6249
1984-09-05,399.4073
1984-09-12,401.5208
1984-09-19,402.0406
1984-09-26,404.4041
1984-10-03,399.7347
1984-10-10,400.2111
1984-10-17,401.2800
1984-10-24,399.8135
1984-10-31,402.5303
1984-11-07,400.5160
1984-11-14,401.6896
1984-11-21,401.1533
1984-11-28,400.4036
1984-12-05,400.6561
1984-12-12,401.3082
1984-12-19,400.6073
1984-12-26,403.8743
1985-01-02,398.1390
1985-01-09,400.7485
1985-01-16,400.0218
1985-01-23,401.5627
1985-01-30,402.7819
1985-02-06,405.8207
1985-02-13,406.1073
1985-02-20,406.1107
1985-02-27,406.6906
1985-03-06,409.1582
1985-03-13,410.3371
1985-03-20,409.2414
1985-03-27,408.649
1985-04-03,410.9886
1985-04-10,407.5844
1985-04-17,409.4452
1985-04-24,410.5186
1985-05-01,407.7468
1985-05-08,410.6117
1985-05-15,413.1816
1985-05-22,415.2174
1985-05-29,416.8582
1985-06-05,417.2748
1985-06-12,417.741
1985-06-19,419.5077
1985-06-26,421.4905
1985-07-03,422.2423
1985-07-10,420.9251
1985-07-17,418.6683
1985-07-24,418.6032
1985-07-31,416.8955
1985-08-07,415.6729
1985-08-14,419.0254
1985-08-21,418.5823
1985-08-28,420.023
1985-09-04,417.3399
1985-09-11,420.0124
1985-09-18,419.4849
1985-09-25,423.8557
1985-10-02,420.9694
1985-10-09,422.3347
1985-10-16,422.4727
1985-10-23,422.7741
1985-10-30,421.7784
1985-11-06,426.4332
1985-11-13,425.9768
1985-11-20,427.1919
1985-11-27,431.1862
1985-12-04,430.0061
1985-12-11,431.6426
1985-12-18,438.5774
1985-12-25,441.5485
1986-01-01,453.1399
1986-01-08,452.335
1986-01-15,454.1549
1986-01-22,453.8802
1986-01-29,454.7396
1986-02-05,453.0298
1986-02-12,452.5506
1986-02-19,453.9517
1986-02-26,455.3246
1986-03-05,450.014
1986-03-12,449.8022
1986-03-19,449.2607
1986-03-26,449.1187
1986-04-02,452.4958
1986-04-09,457.4518
1986-04-16,453.8954
1986-04-23,453.7883
1986-04-30,456.5348
1986-05-07,457.4016
1986-05-14,457.846
1986-05-21,457.7543
1986-05-28,459.9261
1986-06-04,460.2798
1986-06-11,460.3904
1986-06-18,461.3302
1986-06-25,464.2838
1986-07-02,465.7566
1986-07-09,466.2387
1986-07-16,471.8642
1986-07-23,475.054
1986-07-30,476.1456
1986-08-06,478.7615
1986-08-13,478.1442
1986-08-20,478.8233
1986-08-27,484.9089
1986-09-03,489.4886
1986-09-10,490.4532
1986-09-17,492.474
1986-09-24,490.2365
1986-10-01,492.225
1986-10-08,491.1238
1986-10-15,489.4033
1986-10-22,489.3908
1986-10-29,491.8549
1986-11-05,491.3811
1986-11-12,492.9967
1986-11-19,491.1946
1986-11-26,493.9206
1986-12-03,495.2898
1986-12-10,496.7833
1986-12-17,494.6925
1986-12-24,501.0823
1986-12-31,499.3202
1987-01-07,500.2918
1987-01-14,499.7156
1987-01-21,498.2704
1987-01-28,500.1922
1987-02-04,500.395
1987-02-11,500.0486
1987-02-18,500.2018
1987-02-25,502.5519
1987-03-04,501.8666
1987-03-11,502.1724
1987-03-18,502.3266
1987-03-25,501.8482
1987-04-01,505.8334
1987-04-08,507.1226
1987-04-15,506.3883
1987-04-22,507.3845
1987-04-29,510.6947
1987-05-06,511.6839
1987-05-13,510.9422
1987-05-20,511.5649
1987-05-27,513.2551
1987-06-03,513.5942
1987-06-10,513.487
1987-06-17,513.78
1987-06-24,512.3854
1987-07-01,511.1566
1987-07-08,513.9586
1987-07-15,514.593
1987-07-22,514.2524
1987-07-29,515.2529
1987-08-05,518.5303
1987-08-12,517.611
1987-08-19,517.7786
1987-08-26,517.4798
1987-09-02,516.0948
1987-09-09,520.6216
1987-09-16,519.7321
1987-09-23,522.5797
1987-09-30,520.5614
1987-10-07,518.2997
1987-10-14,518.4243
1987-10-21,520.1125
1987-10-28,522.0195
1987-11-04,520.4375
1987-11-11,520.3513
1987-11-18,522.3902
1987-11-25,523.153
1987-12-02,520.3251
1987-12-09,522.5154
1987-12-16,523.9293
1987-12-23,526.0432
1987-12-30,529.0975
1988-01-06,525.8115
1988-01-13,526.546
1988-01-20,528.0045
1988-01-27,528.3497
1988-02-03,526.9262
1988-02-10,526.4228
1988-02-17,526.6102
1988-02-24,528.7001
1988-03-02,528.2233
1988-03-09,529.3765
1988-03-16,530.9788
1988-03-23,529.936
1988-03-30,533.9142
1988-04-06,535.4606
1988-04-13,534.8036
1988-04-20,538.2262
1988-04-27,537.9956
1988-05-04,538.3129
1988-05-11,539.6991
1988-05-18,538.0068
1988-05-25,542.575
1988-06-01,541.9655
1988-06-08,544.5991
1988-06-15,546.9853
1988-06-22,544.0601
1988-06-29,545.6093
1988-07-06,544.2856
1988-07-13,543.9138
1988-07-20,544.4065
1988-07-27,546.2311
1988-08-03,547.2586
1988-08-10,544.233
1988-08-17,543.5876
1988-08-24,544.9695
1988-08-31,544.4173
1988-09-07,541.1728
1988-09-14,542.8873
1988-09-21,543.8256
1988-09-28,547.1988
1988-10-05,544.8486
1988-10-12,544.7927
1988-10-19,543.9249
1988-10-26,546.1024
1988-11-02,543.0675
1988-11-09,542.9163
1988-11-16,547.7587
1988-11-23,548.5264
1988-11-30,549.226
1988-12-07,549.4054
1988-12-14,548.9602
1988-12-21,550.4404
1988-12-28,549.7475
1989-01-04,546.5908
1989-01-11,548.6097
1989-01-18,549.2408
1989-01-25,548.6215
1989-02-01,546.5395
1989-02-08,545.9417
1989-02-15,548.0914
1989-02-22,547.12
1989-03-01,547.9401
1989-03-08,546.5186
1989-03-15,549.1317
1989-03-22,550.6421
1989-03-29,554.2922
1989-04-05,553.5617
1989-04-12,551.7977
1989-04-19,552.5741
1989-04-26,552.643
1989-05-03,552.2606
1989-05-10,552.6589
1989-05-17,553.7355
1989-05-24,557.7699
1989-05-31,555.7518
1989-06-07,553.2038
1989-06-14,553.681
1989-06-21,555.7838
1989-06-28,559.3961
1989-07-05,557.8294
1989-07-12,556.3641
1989-07-19,554.7917
1989-07-26,556.7422
1989-08-02,551.5697
1989-08-09,555.152
1989-08-16,554.3893
1989-08-23,557.2324
1989-08-30,556.2538
1989-09-06,553.3046
1989-09-13,552.8946
1989-09-20,554.7869
1989-09-27,557.199
1989-10-04,555.5001
1989-10-11,559.2713
1989-10-18,563.3395
1989-10-25,565.6192
1989-11-01,566.9784
1989-11-08,565.7157
1989-11-15,566.8509
1989-11-22,567.5652
1989-11-29,566.299
1989-12-06,569.578
1989-12-13,572.7701
1989-12-20,570.6055
1989-12-27,568.8272
1990-01-03,570.3329
1990-01-10,575.4189
1990-01-17,576.8528
1990-01-24,582.8656
1990-01-31,586.6979
1990-02-07,586.3291
1990-02-14,587.5364
1990-02-21,590.2561
1990-02-28,591.2411
1990-03-07,590.0045
1990-03-14,591.8576
1990-03-21,591.4918
1990-03-28,592.0357
1990-04-04,592.4308
1990-04-11,593.275
1990-04-18,594.962
1990-04-25,598.354
1990-05-02,599.3677
1990-05-09,597.104
1990-05-16,598.0534
1990-05-23,601.9876
1990-05-30,601.459
1990-06-06,604.5508
1990-06-13,606.5238
1990-06-20,609.364
1990-06-27,609.8639
1990-07-04,607.9498
1990-07-11,610.4509
1990-07-18,611.7295
1990-07-25,611.2628
1990-08-01,611.1677
1990-08-08,609.4832
1990-08-15,612.4702
1990-08-22,612.4057
1990-08-29,616.2699
1990-09-05,614.0343
1990-09-12,615.0543
1990-09-19,618.9807
1990-09-26,614.3176
1990-10-03,613.5438
1990-10-10,614.6454
1990-10-17,616.1884
1990-10-24,616.8462
1990-10-31,618.9532
1990-11-07,619.1486
1990-11-14,619.414
1990-11-21,619.0541
1990-11-28,617.1198
1990-12-05,616.4348
1990-12-12,619.9851
1990-12-19,620.0536
1990-12-26,623.7755
1991-01-02,618.0297
1991-01-09,621.7807
1991-01-16,623.3424
1991-01-23,627.9796
1991-01-30,625.9214
1991-02-06,625.2472
1991-02-13,628.1103
1991-02-20,629.29
1991-02-27,630.9222
1991-03-06,634.3982
1991-03-13,637.5331
1991-03-20,642.8275
1991-03-27,642.9751
1991-04-03,645.0525
1991-04-10,641.3816
1991-04-17,642.58
1991-04-24,644.2527
1991-05-01,647.4755
1991-05-08,646.35
1991-05-15,649.0893
1991-05-22,649.8829
1991-05-29,650.393
1991-06-05,652.1175
1991-06-12,657.4356
1991-06-19,657.7182
1991-06-26,662.6375
1991-07-03,662.819
1991-07-10,666.2835
1991-07-17,666.4571
1991-07-24,668.3996
1991-07-31,672.2221
1991-08-07,671.9699
1991-08-14,672.9386
1991-08-21,675.5027
1991-08-28,675.9343
1991-09-04,679.5978
1991-09-11,683.838
1991-09-18,685.6417
1991-09-25,687.26
1991-10-02,693.1083
1991-10-09,696.5136
1991-10-16,698.9256
1991-10-23,702.3543
1991-10-30,706.8737
