DATE,WSHONBNL
2019-12-04,1996404.0
2019-12-11,1998956.0
2019-12-18,2002358.0
2019-12-25,2007961.0
2020-01-01,2006550.0
2020-01-08,2010350.0
2020-01-15,2014116.0
2020-01-22,2017518.0
2020-01-29,2023121.0
2020-02-05,2025475.0
2020-02-12,2028077.0
2020-02-19,2029678.0
2020-02-26,2037082.0
2020-03-04,2043081.0
2020-03-11,2043482.0
2020-03-18,2154496.0
2020-03-25,2456125.0
2020-04-01,2791860.0
2020-04-08,3064860.0
2020-04-15,3206144.0
2020-04-22,3314644.0
2020-04-29,3367047.0
2020-05-06,3409516.0
2020-05-13,3442616.0
2020-05-20,3471224.0
2020-05-27,3489174.0
2020-06-03,3512424.0
2020-06-10,3526774.0
2020-06-17,3542389.0
2020-06-24,3570924.0
2020-07-01,3581139.0
2020-07-08,3599273.0
2020-07-15,3625089.0
2020-07-22,3636425.0
2020-07-29,3661492.0
2020-08-05,3670435.0
2020-08-12,3681769.0
2020-08-19,3706835.0
2020-08-26,3718169.0
2020-09-02,3742629.0
2020-09-09,3747962.0
2020-09-16,3755695.0
2020-09-23,3779831.0
2020-09-30,3790453.0
2020-10-07,3814590.0
2020-10-14,3826856.0
2020-10-21,3847392.0
2020-10-28,3863263.0
2020-11-04,3872732.0
2020-11-11,3887266.0
2020-11-18,3916204.0
2020-11-25,3934315.0
2020-12-02,3940382.0
2020-12-09,3952652.0
2020-12-16,3984922.0
2020-12-23,4001192.0
2020-12-30,4007193.0
2021-01-06,4015445.0
2021-01-13,4035981.0
2021-01-20,4061431.0
2021-01-27,4081568.0
2021-02-03,4085037.0
2021-02-10,4109172.0
2021-02-17,4134243.0
2021-02-24,4150779.0
2021-03-03,4170650.0
2021-03-10,4190787.0
2021-03-17,4213056.0
2021-03-24,4218391.0
2021-03-31,4235393.0
2021-04-07,4251662.0
2021-04-14,4262999.0
2021-04-21,4297074.0
2021-04-28,4308411.0
2021-05-05,4330043.0
2021-05-12,4339645.0
2021-05-19,4355182.0
2021-05-26,4367786.0
2021-06-02,4398990.0
2021-06-09,4405568.0
2021-06-16,4427372.0
2021-06-23,4433973.0
2021-06-30,4449349.0
2021-07-07,4466950.0
2021-07-14,4484752.0
2021-07-21,4514027.0
2021-07-28,4531831.0
2021-08-04,4543634.0
2021-08-11,4568639.0
2021-08-18,4584442.0
2021-08-25,4604044.0
2021-09-01,4620243.0
2021-09-08,4626844.0
2021-09-15,4643247.0
2021-09-22,4660848.0
2021-09-29,4678052.0
2021-10-06,4691968.0
2021-10-13,4707171.0
2021-10-20,4737972.0
2021-10-27,4750574.0
2021-11-03,4767776.0
2021-11-10,4785576.0
2021-11-17,4806255.0
2021-11-24,4809232.0
2021-12-01,4819804.0
2021-12-08,4828030.0
2021-12-15,4861307.0
2021-12-22,4869208.0
2021-12-29,4870809.0
2022-01-05,4874800.0
2022-01-12,4896806.0
2022-01-19,4915211.0
2022-01-26,4935214.0
2022-02-02,4943022.0
2022-02-09,4946424.0
2022-02-16,4952826.0
2022-02-23,4954427.0
2022-03-02,4959086.0
2022-03-09,4962484.0
2022-03-16,4966485.0
2022-03-23,4966485.0
2022-03-30,4966485.0
2022-04-06,4963879.0
2022-04-13,4963879.0
2022-04-20,4975463.0
2022-04-27,4975463.0
